"","Estimate","t value","Pr(>|t|)"
"Argentina",-4.71969806419201,-2.57380356173933,0.0277092878590507
"Australia",-4.27880905691734,-7.82291902886976,1.43176042117273e-05
"Austria",-5.48178529976017,-6.05072703064609,0.000123489242027243
"Bahrain",-0.767498697777544,-2.04912056558378,0.0676077494668785
"Bangladesh",-0.0711764912651033,-0.733663821441942,0.480000680697137
"Belgium",-1.53267989369025,-4.36250135290544,0.0014156004495969
"Botswana",-3.85115379619436,-0.920768804086426,0.425077989220938
"Brazil",-5.13641564066614,-4.10005348692562,0.00214439482278108
"Bulgaria",-3.62258566695817,-5.58083672269792,0.000233834474971438
"Canada",-3.20483737771842,-2.75158055209986,0.0204227717073461
"Chile",-3.09468233831037,-6.870472492158,4.34823374573796e-05
"China",-2.12366956779999,-5.55354241236287,0.00024289735726327
"Colombia",-2.42338637734998,-1.01151044650726,0.350810280144622
"Cote.d.Ivoire",-3.3164369728718,-4.795390584433,0.00136354754926686
"Croatia",-5.18352921716941,-6.17472763983995,0.000104864772044282
"Cyprus",-1.70832080404953,-0.615780527683478,0.557522660303306
"Czech.Rep.",-4.1866057274583,-3.32095178069039,0.00773502769755273
"Denmark",-2.8775523563952,-3.32094634542608,0.00773509863125188
"Ecuador",-0.0941962222512868,-1.30707170282998,0.223594944407519
"Egypt",-1.69089555113266,-1.36951427651189,0.200805700505227
"Estonia",-2.78310760319092,-3.08568850458856,0.0115283559342704
"Finland",-4.239871635852,-6.32941247163894,8.57630474093563e-05
"France",-0.718110213362611,-5.33473279701384,0.000330720599080132
"Germany",-1.65066841986399,-5.90545457250966,0.0001499512502024
"Ghana",0.225913442759517,1.29242790477339,0.225273929492748
"Greece",-1.24314131255112,-0.783119894070372,0.451704428565486
"Hong.Kong",-2.21321144928866,-4.11366799099528,0.00209821326706765
"Hungary",-4.82534393690628,-4.36295784724909,0.0014145898089238
"Iceland",-2.21736520801572,-7.20840905909429,2.89719130506465e-05
"India",-4.24806545963636,-4.35355754001567,0.00143555595777002
"Indonesia",-5.14270525360022,-5.15917372602851,0.000425738077552988
"Ireland",-3.94906926412166,-5.35482557641756,0.000321388225008443
"Israel",-3.78448877481159,-3.86566254816459,0.00313121465015251
"Italy",-1.46522140333727,-4.59846250070318,0.000982430119312799
"Jamaica",1.40558244878563,1.38380161922887,0.208934648104572
"Japan",-0.780417095565803,-0.884135635885147,0.39738186972337
"Jordan",0.206502623151578,0.69070235074543,0.5054682282922
"Kazakhstan",-2.262764649035,-0.551470898622867,0.610667640515987
"Kenya",-0.222101150480255,-0.803747751664771,0.44023018909589
"Kuwait",-0.381386948468215,-2.85167786409345,0.017200541572514
"Latvia",-3.13567355871837,-7.84084431601054,1.40349221100747e-05
"Lebanon",34.7610203423111,34.7610203423111,34.7610203423111
"Lithuania",-4.08521687803059,-6.6869193886581,5.45254278244176e-05
"Luxembourg",-3.03075549437897,-2.09721153437631,0.0623688424031278
"Macedonia",-3.21601666505796,-1.93555527476172,0.101062781573747
"Malaysia",-4.62195278159793,-6.26097665229544,9.37061839521294e-05
"Malta",-1.30575824570361,-2.95903865280301,0.014311634527377
"Mauritius",-0.760958693592841,-1.87367976215543,0.0937468727472925
"Mexico",-3.9311536586962,-4.17444118230384,0.00190446646774914
"Montenegro",-0.0402580294888452,-0.288520348480715,0.780282920117076
"Morocco",-1.49551573441138,-2.24878157311297,0.0482793975213916
"Namibia",2.48318695599454,3.18063020916432,0.0500697780035462
"Netherlands",-0.992282515172204,-6.27397933422993,9.21380288668606e-05
"New.Zealand",-3.09500482126036,-3.4710538669782,0.0060104938440943
"Nigeria",-0.0746203964520327,-0.429042618241475,0.676988187962995
"Norway",-5.06462594205202,-5.90471475221478,0.000150100690299365
"Oman",-0.852999786072298,-1.62961940286563,0.134236800772216
"Pakistan",-0.0546873169997213,-0.41770451658941,0.68499027609239
"Panama",0.266222355739258,1.25997013788325,0.23936952533593
"Peru",-3.60102516503175,-3.99639498921922,0.00253302118646526
"Philippines",-4.32801809940227,-5.57714993826983,0.000235037173347324
"Poland",-6.94460064144269,-8.30476055645797,8.47414548284621e-06
"Portugal",-3.62472596331587,-2.9297465648589,0.0150472890089608
"Qatar",-1.65004925327165,-1.40170357226635,0.210557051706955
"Romania",-6.53107933371976,-9.30457650940104,3.0648562762336e-06
"Russia",-5.74800835619491,-5.57593907369311,0.000235433625915995
"Saudi.Arabia",-1.25854515105797,-1.43753502305164,0.181111632006751
"Serbia",-4.15895742357144,-1.50350004922865,0.2071416321533
"Singapore",-3.46776315648663,-4.74406550697296,0.000787258764458379
"Slovakia",-0.476899341316184,-1.15002279274317,0.276893889094662
"Slovenia",7.90927415457396,5.74664903278172,0.0104664450560351
"South.Africa",-5.25219812564849,-4.35462313907339,0.0014331628684986
"South.Korea",-2.55949669914624,-5.32446970523374,0.000335598944723621
"Spain",-1.06442296574643,-2.77494292435065,0.0196201745314193
"Sri.Lanka",-0.235303777410335,-0.83951425637259,0.420797534226316
"Sweden",-2.37062946738173,-5.95682227980115,0.000139956383576343
"Switzerland",-1.34714141699345,-4.06277737132202,0.00227638993475135
"Taiwan",-3.86414069508892,-4.90114188492421,0.000622057813665754
"Thailand",-2.72023435350752,-5.45895484351267,0.00027733488593682
"Trinidad",0.0348008904153649,0.181036116438331,0.859955800925046
"Tunisia",-0.236157446222681,-0.304695833057759,0.766844632455122
"Turkey",-4.91477520571976,-3.50609311784953,0.00566851747284418
"Ukraine",-2.57221396169545,-2.11048538846677,0.0793195771718858
"UAE",-1.76539240927832,-5.21043040356681,0.000395295565588784
"UK",-5.51533876717363,-3.7580043338141,0.00373437671312866
"US",-2.045289234301,-2.17116484705548,0.0550614908273851
"Venezuela",0.00173552024923617,0.0109050692286335,0.991513677290201
"Vietnam",-0.784313527670966,-1.66329707883331,0.127230017899717
"Zambia",-0.386397966888155,-1.2464275239073,0.24101435035138
