Year,vol_mean_equity,vol_mean_bond,vol_mean_reit
1986,0.015055984435713612,0.0043589012339872515,0.006672443072534444
1987,0.021160370214011435,0.009730437995849639,0.009115349640651232
1988,0.01472591962047292,0.007101396927025263,0.010514013006706605
1989,0.015424321464193879,0.007426844351120242,0.012134693207253688
1990,0.020223855141707405,0.007085119183169701,0.01293305496812771
1991,0.017533872919656898,0.008387681175892864,0.014434129091911302
1992,0.016050458731085827,0.009148416291466989,0.01525022549254611
1993,0.014432271983856432,0.007673331218996283,0.013490771506103578
1994,0.014735109177235067,0.007621461167223529,0.013931070095226455
1995,0.012266277757109069,0.007570952315058556,0.01070128541370164
1996,0.010034652974990827,0.005184389595902207,0.011070904302760297
1997,0.01576198165012528,0.006302733719446587,0.01218938443053276
1998,0.019801140806179375,0.0073016496625843644,0.013292296662764422
1999,0.01569438491337225,0.0068596960603337954,0.016208820410021734
2000,0.015549396945211146,0.008008415863117185,0.014173021882317428
2001,0.016479158311447716,0.008274201042345521,0.012234674657326477
2002,0.01460081760535184,0.007091382179750838,0.01226849146621487
2003,0.012555877607114144,0.008436229793726178,0.012913011033947389
2004,0.011744462376251786,0.008313783086471908,0.013897494551910717
2005,0.010847359857518083,0.006714862679829951,0.013194854749983307
2006,0.01950289569231034,0.006117371771916275,0.014453720251758662
2007,0.013179001952171181,0.005386526260332439,0.016690025926551402
2008,0.026178384333105563,0.010827262432562046,0.03277422648320636
2009,0.020078807704113334,0.00985406320259689,0.027573528127926225
2010,0.01429001332821667,0.009005455179579472,0.015374184224638092
2011,0.01623965748413669,0.009585264036651737,0.017834165161888457
2012,0.01242050692127429,0.007678300308930826,0.013297712970397842
2013,0.011107039386875357,0.007248959663399777,0.012428692472973776
2014,0.010229700446986102,0.005255458173994958,0.00967021337174921
2015,0.012633193221920393,0.008915601562260058,0.0140461904208446
2016,0.014209464098185094,0.007765843071933267,0.01622068595916325
2017,0.008656670136547633,0.005945780065332652,0.016196271799933055
2018,0.012391637854251712,0.005196402415075151,0.010471210913636737
