Year,World_mean_equity,World_mean_bond,World_mean_reit,World_mean_all
1986,80.87730830530519,55.151630498596965,95.70268060712571,77.24387313700929
1987,59.32093250143423,55.60837254263442,92.39718511449837,69.10883005285567
1988,73.3973288645646,45.12478464304189,93.80459252384414,70.7755686771502
1989,66.88942258773089,36.322043271213396,95.81736541074133,66.34294375656188
1990,71.69823446058389,47.618160117544896,96.65654348810124,71.99097935541
1991,62.895087226834754,35.4477700102425,80.14903476451053,59.4972973338626
1992,75.89044393993987,44.69683638849509,92.65792509129581,71.08173513991025
1993,81.0958304850717,50.38481910370249,95.31370839370003,75.5981193274914
1994,78.37674464560602,48.379697708260515,96.00364536228594,74.25336257205083
1995,76.95647014884626,42.000599918767094,93.16291288360826,70.70666098374053
1996,83.60149448938316,47.93494388703939,97.80696020581729,76.44779952741328
1997,73.80757955710092,40.352715408083554,95.76018674003186,69.97349390173878
1998,71.7091079729195,32.73899399782699,95.07949254497916,66.50919817190855
1999,81.18674072840477,36.260411561319216,98.2265064581526,71.89121958262552
2000,76.50770726213712,31.167157153512424,96.8722497255172,68.18237138038891
2001,73.31208730962506,32.118164103178124,91.76354187136886,65.73126442805734
2002,75.02741189082803,33.31605855074568,94.5983283464472,67.64726626267364
2003,77.6100840522599,28.15964671034459,91.10817045953326,65.62596707404592
2004,69.19562828531366,21.47964783041695,76.53421953561543,55.73649855044868
2005,74.14542502219695,24.424052940851652,87.7001057552468,62.0898612394318
2006,66.70543653102986,29.464657257514475,80.55621755672685,58.90877044842373
2007,63.454767835820796,37.39694349823681,67.86829350713988,56.240001613732495
2008,53.57945841137111,33.66592481717706,63.237072676218126,50.160818634922094
2009,58.329002553917,35.63452891953464,70.48368148969817,54.81573765438327
2010,55.43763996987227,39.48674929251072,67.02868562578746,53.98435829605682
2011,55.509975010363405,49.17094246110515,57.68214037974275,54.1210192837371
2012,61.58233383475146,48.27694699901419,72.40912865396076,60.756136495908805
2013,70.690736110257,41.71971167312076,76.19029001501075,62.866912599462836
2014,74.86118356149095,46.77147364851311,84.88948190349787,68.84071303783398
2015,67.92323208079401,45.980106968294606,78.4434941700001,64.11561107302957
2016,61.06333912459031,37.670003264554055,68.18868909595966,55.64067716170134
2017,75.12404174684866,40.85378094551866,82.3246737245186,66.10083213896198
2018,68.43437434639034,45.471000585519036,78.82426249444005,64.24321247544981
